BOOKSELLER_CATEGORY,AUTHOR,TITLE,SERIES,VOLUME,PUB_DATE,EXTENT,CLOTH_ISBN,CLOTH_PRICE,PAPER_ISBN,PAPER_PRICE,ELECTRONIC_ISBN,ELECTRONIC_PRICE,URL
"SOCW Social Welfare, Family Studies & Gerontology",Conyne R,Prevention Program Development and Evaluation,,,8/12/2009,232 pages,978-1-4129-6679-5,£75.00,978-1-4129-6680-1,£54.00,,,http://www.uk.sagepub.com/books/Book232990
PSYC Psychotherapy and Counselling,Conyne R,Program Development and Evaluation in Prevention,Prevention Practice Kit,,2/11/2013,72 pages,,,978-1-4522-5801-0,£16.99,,,http://www.uk.sagepub.com/books/Book239658
PSYC Psychotherapy and Counselling,Conyne R,Group Work Leadership,Counseling and Professional Identity,,7/31/2013,376 pages,,,978-1-4522-1790-1,£86.00,,,http://www.uk.sagepub.com/books/Book236902
PSYC Psychotherapy and Counselling,Conyne R,Group Work Practice Kit,Group Work Practice Kit,,12/4/2013,800 pages,,,978-1-4522-0328-7,£120.00,,,http://www.uk.sagepub.com/books/Book237304
PSYC Psychotherapy and Counselling,Conyne R & Diederich L,What Is Group Work?,Group Work Practice Kit,,12/31/2013,104 pages,,,978-1-4833-3231-4,£17.99,,,http://www.uk.sagepub.com/books/Book242172
PSYC Psychotherapy and Counselling,Conyne R & Horne A,Prevention Practice Kit,Prevention Practice Kit,,2/11/2013,616 pages,,,978-1-4129-9507-8,£104.00,,,http://www.uk.sagepub.com/books/Book235526
PSYC Psychology,Conyne R et al,Prevention in Psychology,Prevention Practice Kit,,2/11/2013,80 pages,,,978-1-4522-5795-2,£17.99,,,http://www.uk.sagepub.com/books/Book239652
CRIM Criminology,Cook D,Criminal and Social Justice,,,3/18/2006,224 pages,978-0-7619-4009-8,£119.00,978-0-7619-4010-4,£32.99,978-1-84787-739-0,£25.99,http://www.uk.sagepub.com/books/Book225053
POLI Politics and International Relations,Cook F,America Votes 29,,,1/28/2012,480 pages,978-1-60871-738-5,£145.00,,,,,http://www.uk.sagepub.com/books/Book236976
POLI Politics and International Relations,Cook F,America Votes 30,,,1/14/2014,496 pages,978-1-4522-8328-9,£165.00,,,,,http://www.uk.sagepub.com/books/Book240358
POLI Politics and International Relations,Cook F,America Votes 31,,,1/5/2016,424 pages,978-1-4833-8303-3,£205.00,,,,,http://www.uk.sagepub.com/books/Book245072
,Cook F,America Votes 32: 32nd Edition,,,1/31/2018,520 pages,978-1-5063-6898-6,£185.00,,,,,http://www.uk.sagepub.com/books/Book255378
POLI Politics and International Relations,Cook F et al,America Votes 27,,,8/24/2007,551 pages,978-0-87289-358-0,£145.00,,,,,http://www.uk.sagepub.com/books/Book236336
POLI Politics and International Relations,Cook F et al,America Votes 28,,,10/13/2009,552 pages,978-1-60426-534-7,£145.00,,,,,http://www.uk.sagepub.com/books/Book236479
MANA Management and Organization Studies,Cook S,Connected Leadership,Corwin Connected Educators Series,,11/30/2014,72 pages,,,978-1-4833-7168-9,£9.99,,,http://www.uk.sagepub.com/books/Book244209
WOME Women's and Gender Studies,Cook S & Bessant J,Women's Encounters with Violence,SAGE Series on Violence against Women,,8/20/1997,280 pages,978-0-7619-0431-1,£103.00,978-0-7619-0432-8,£42.99,,,http://www.uk.sagepub.com/books/Book6316
EDUC Primary and Secondary Education,Cook S et al,Breaking Out of Isolation,Corwin Connected Educators Series,,10/15/2015,80 pages,,,978-1-4833-9242-4,£9.99,,,http://www.uk.sagepub.com/books/Book245610
EDUC Primary and Secondary Education,Cooke G,Keys to Success for Urban School Principals: Second Edition,,,12/26/2006,176 pages,978-1-4129-4092-4,£57.00,978-1-4129-4093-1,£26.99,,,http://www.uk.sagepub.com/books/Book229223
EDUC Primary and Secondary Education,Cooke H,Mathematics for Primary and Early Years: Second Edition,Developing Subject Knowledge series,,6/30/2007,232 pages,978-1-4129-4609-4,£83.00,978-1-4129-4610-0,£28.99,978-1-84787-628-7,£20.99,http://www.uk.sagepub.com/books/Book231724
MANA Management and Organization Studies,Cooke W & Cox J,Fundamentals of Action Research,SAGE Benchmarks in Social Research Methods,,12/18/2004,1688 pages,978-1-4129-0220-5,£645.00,,,,,http://www.uk.sagepub.com/books/Book226904
EDUC Primary and Secondary Education,Cooley L,The Power of Groups,,,7/13/2009,192 pages,978-1-4129-7096-9,£58.00,978-1-4129-7097-6,£25.99,,,http://www.uk.sagepub.com/books/Book233368
STAT Statistics and Mathematical Methods,Coolidge F,Statistics: Third Edition,,,4/5/2012,488 pages,,,978-1-4129-9171-1,£76.00,,,http://www.uk.sagepub.com/books/Book235514
,Coolidge F,Sankhyasastra Tondaolakha: Third Edition,,,1/31/2017,476 pages,,,978-9-35-150695-9,,978-9-35-280149-7,£9.99,http://www.uk.sagepub.com/books/Book250082
,Coolidge F,Sankhyike: Third Edition,,,3/31/2017,476 pages,,,978-9-35-150664-5,,978-9-35-280383-5,£9.99,http://www.uk.sagepub.com/books/Book250061
SOCI Sociology and Cultural Studies,Coomber R et al,Key Concepts in Drugs and Society,SAGE Key Concepts series,,4/29/2013,208 pages,978-1-84787-484-9,£75.00,978-1-84787-485-6,£22.99,978-1-4462-8157-4,£17.99,http://www.uk.sagepub.com/books/Book232938
CRIM Criminology,Coomber R et al,Key Concepts in Crime and Society,SAGE Key Concepts series,,12/16/2014,200 pages,978-0-85702-255-4,£66.00,978-0-85702-256-1,£21.99,978-1-4739-2529-8,£17.99,http://www.uk.sagepub.com/books/Book235275
MANA Management and Organization Studies,Coombs H et al,Management Accounting,,,4/30/2005,360 pages,978-1-4129-0843-6,£116.00,978-1-85396-383-4,£27.99,978-1-84787-711-6,£21.99,http://www.uk.sagepub.com/books/Book208219
HEAL Health Studies and Nursing,Coombs R,Surviving Medical School,,,4/30/1998,208 pages,978-0-7619-0528-8,£102.00,978-0-7619-0529-5,£58.00,,,http://www.uk.sagepub.com/books/Book7092
HEAL Health Studies and Nursing,Coombs R,Addiction Recovery Tools,,,2/28/2002,424 pages,978-0-7619-2066-3,£134.00,978-0-7619-2067-0,£122.00,,,http://www.uk.sagepub.com/books/Book9537
COMM Communication and Media Studies,Coombs W,Applied Crisis Communication and Crisis Management,,,7/25/2013,256 pages,,,978-1-4522-1780-2,£64.00,,,http://www.uk.sagepub.com/books/Book237478
COMM Communication and Media Studies,Coombs W,Crisis Communication,SAGE Benchmarks in Communication,,12/12/2013,1536 pages,978-1-4462-7607-5,£645.00,,,,,http://www.uk.sagepub.com/books/Book241823
MANA Management and Organization Studies,Coombs W,Ongoing Crisis Communication: Fourth Edition,,,3/31/2014,256 pages,,,978-1-4522-6136-2,£69.00,,,http://www.uk.sagepub.com/books/Book238868
EDUC Primary and Secondary Education,Cooper B & Randall E,Accuracy or Advocacy?,Yearbook of the Politics of Education Association,Volume 12,5/30/1999,232 pages,978-0-8039-6777-9,£54.00,978-0-8039-6778-6,£26.99,,,http://www.uk.sagepub.com/books/Book9394
MANA Management and Organization Studies,Cooper C,Fundamentals of Organizational Behavior,SAGE Library in Business and Management,,6/18/2002,1618 pages,978-0-7619-7458-1,£645.00,,,,,http://www.uk.sagepub.com/books/Book224883
MANA Management and Organization Studies,Cooper C,New Directions in Organizational Behavior,SAGE Library in Business and Management,,1/18/2009,1616 pages,978-1-84787-280-7,£645.00,,,,,http://www.uk.sagepub.com/books/Book232568
HEAL Health Studies and Nursing,Cooper C,Organizational Health and Well-Being,SAGE Library in Business and Management,,6/30/2011,1256 pages,978-0-85702-555-5,£475.00,,,,,http://www.uk.sagepub.com/books/Book235660
MANA Management and Organization Studies,Cooper C & Starbuck W,Work,SAGE Library in Business and Management,,3/18/2005,1480 pages,978-1-4129-0360-8,£475.00,,,,,http://www.uk.sagepub.com/books/Book227112
MANA Management and Organization Studies,Cooper C & Starbuck W,Work and Workers,SAGE Library in Business and Management,,9/18/2005,1496 pages,978-1-4129-0882-5,£475.00,,,,,http://www.uk.sagepub.com/books/Book227608
MANA Management and Organization Studies,Cooper C et al,Organizational Stress,Foundations for Organizational Science,,4/30/2001,288 pages,978-0-7619-1480-8,£119.00,978-0-7619-1481-5,£64.00,,,http://www.uk.sagepub.com/books/Book7406
EDUT Tertiary Education,Cooper H,Professional Studies in Primary Education: Second Edition,,,3/20/2014,408 pages,978-1-4462-8075-1,£75.00,978-1-4462-8076-8,£24.99,978-1-4739-0474-3,£19.99,http://www.uk.sagepub.com/books/Book241930
SOCR Social Research Methods and Evaluation,Cooper H,Research Synthesis and Meta-Analysis: Fifth Edition,Applied Social Research Methods,Volume 2,3/3/2016,384 pages,,,978-1-4833-3115-7,£45.99,,,http://www.uk.sagepub.com/books/Book241775
EDUC Primary and Secondary Education,Cooper H & Chapman A,Constructing History 11-19,,,7/31/2009,176 pages,978-1-84787-187-9,£85.00,978-1-84787-188-6,£27.99,978-1-4462-0254-8,£21.99,http://www.uk.sagepub.com/books/Book232407
EDUT Tertiary Education,Cooper H & Elton-Chalcraft S,Professional Studies in Primary Education: Third Edition,,,1/27/2018,504 pages,978-1-5264-0967-6,£75.00,978-1-5264-0968-3,£24.99,978-1-5264-4781-4,,http://www.uk.sagepub.com/books/Book254478
PSYC Psychology,Cooper J,Cognitive Dissonance,,,3/18/2007,216 pages,978-1-4129-2972-1,£123.00,978-1-4129-2973-8,£32.99,978-1-84920-344-9,£25.99,http://www.uk.sagepub.com/books/Book230406
EDUC Primary and Secondary Education,Cooper J et al,Developing Critical Cultural Competence,,,10/31/2011,232 pages,,,978-1-4129-9625-9,£28.99,,,http://www.uk.sagepub.com/books/Book235995
EDUT Tertiary Education,Cooper L & Booth B,The Adjunct Faculty Handbook: Second Edition,,,7/18/2010,160 pages,,,978-1-4129-7519-3,£29.99,,,http://www.uk.sagepub.com/books/Book233897
PSYC Psychotherapy and Counselling,Cooper M,Essential Research Findings in Counselling and Psychotherapy,,,9/30/2008,256 pages,978-1-84787-042-1,£87.00,978-1-84787-043-8,£25.99,978-1-4462-0543-3,£20.99,http://www.uk.sagepub.com/books/Book232252
PSYC Psychotherapy and Counselling,Cooper M,Existential Psychotherapy and Counselling,,,3/16/2015,264 pages,978-1-4462-0130-5,£71.00,978-1-4462-0131-2,£23.99,978-1-4739-1847-4,£18.99,http://www.uk.sagepub.com/books/Book236681
PSYC Psychotherapy and Counselling,Cooper M,Existential Therapies: Second Edition,,,10/18/2016,232 pages,978-1-4462-0128-2,£75.00,978-1-4462-0129-9,£26.99,978-1-4739-8688-6,£21.99,http://www.uk.sagepub.com/books/Book236678
PSYC Psychotherapy and Counselling,Cooper M & Dryden W,The Handbook of Pluralistic Counselling and Psychotherapy,,,12/3/2015,376 pages,978-1-4739-0398-2,£79.00,978-1-4739-0399-9,£26.99,978-1-4739-4369-8,£21.99,http://www.uk.sagepub.com/books/Book243250
PSYC Psychotherapy and Counselling,Cooper M & McLeod J,Pluralistic Counselling and Psychotherapy,,,11/30/2010,208 pages,978-1-84787-344-6,£91.00,978-1-84787-345-3,£27.99,978-1-4462-4824-9,£21.99,http://www.uk.sagepub.com/books/Book232628
EDUC Primary and Secondary Education,Cooper N & Garner B,Developing a Learning Classroom,,,8/13/2012,152 pages,,,978-1-4522-0388-1,£22.99,,,http://www.uk.sagepub.com/books/Book237330
POLI Politics and International Relations,Cooper P & Cooper P,Governing by Contract,Kettl Series,,7/1/2002,172 pages,,,978-1-56802-620-6,£37.99,,,http://www.uk.sagepub.com/books/Book236154
EDUC Primary and Secondary Education,Cooper R,Hidden Tears and Happy Smiles,Lucky Duck Books,,1/1/2001,94 pages,,,978-1-873942-63-5,£19.99,,,http://www.uk.sagepub.com/books/Book227903
MANA Management and Organization Studies,Cooperrider D & Dutton J,Organizational Dimensions of Global Change,Human Dimensions of Global Change series,,6/30/1999,424 pages,978-0-7619-1528-7,£134.00,978-0-7619-1529-4,£74.00,,,http://www.uk.sagepub.com/books/Book5240
MANA Management and Organization Studies,Coovert M & Thompson L,Computer Supported Cooperative Work,Advanced Topics in Organizational Behavior,,4/30/2001,128 pages,978-0-7619-0572-1,£95.00,978-0-7619-0573-8,£52.00,,,http://www.uk.sagepub.com/books/Book6251
ENVI Environmental Studies,Cope M & Elwood S,Qualitative GIS,,,7/31/2009,192 pages,978-1-4129-4565-3,£108.00,978-1-4129-4566-0,£33.99,978-1-4462-4954-3,£26.99,http://www.uk.sagepub.com/books/Book231637
SOCR Social Research Methods and Evaluation,Copeland A & FAAN K,Studying Families,Applied Social Research Methods,Volume 27,7/30/1991,128 pages,978-0-8039-3247-0,£33.00,978-0-8039-3248-7,£47.99,,,http://www.uk.sagepub.com/books/Book3143
CRIM Criminology,Copely S,Reflective Practice for Policing Students,Policing Matters Series,,2/15/2011,128 pages,,,978-1-84445-848-6,£20.99,978-1-84445-850-9,£16.99,http://www.uk.sagepub.com/books/Book238593
"SOCW Social Welfare, Family Studies & Gerontology",Copen L,Preparing Children for Court,Interpersonal Violence: The Practice Series,,9/30/2000,192 pages,,,978-0-7619-2182-0,£102.00,,,http://www.uk.sagepub.com/books/Book11134
SOCR Social Research Methods and Evaluation,Copland F & Creese A,Linguistic Ethnography,,,1/22/2015,280 pages,978-1-4462-5737-1,£83.00,978-1-4462-5738-8,£28.99,978-1-4739-1116-1,£22.99,http://www.uk.sagepub.com/books/Book239462
COMM Communication and Media Studies,Copley P,Marketing Communications Management: Second Edition,,,9/24/2014,480 pages,978-0-85702-786-3,£132.00,978-0-85702-787-0,£44.99,978-1-4739-0834-5,£35.99,http://www.uk.sagepub.com/books/Book235817
EDUT Tertiary Education,Copping A,Being Creative in Primary English,,,9/19/2016,240 pages,978-1-4739-1565-7,£65.00,978-1-4739-1566-4,£21.99,978-1-4739-8717-3,£17.99,http://www.uk.sagepub.com/books/Book245138
"SOCW Social Welfare, Family Studies & Gerontology",Coppock V & Dunn R,Understanding Social Work Practice in Mental Health,,,12/31/2009,176 pages,978-1-4129-3504-3,£82.00,978-1-4129-3505-0,£26.99,978-1-4462-0464-1,£21.99,http://www.uk.sagepub.com/books/Book230768
EDUC Primary and Secondary Education,Coppola A et al,Supportive Supervision,,,4/30/2004,200 pages,978-0-7619-3188-1,£63.00,978-0-7619-3189-8,£28.99,,,http://www.uk.sagepub.com/books/Book226609
EDUC Primary and Secondary Education,Corbett R,From Toothpicks to Treetops,,,6/1/2003,200 pages,,,978-1-57517-858-5,£29.99,,,http://www.uk.sagepub.com/books/Book228695
SOCR Social Research Methods and Evaluation,Corbetta P,Social Research,,,4/18/2003,336 pages,978-0-7619-7252-5,£119.00,978-0-7619-7253-2,£28.99,978-1-84787-116-9,£22.99,http://www.uk.sagepub.com/books/Book217585
EDUC Primary and Secondary Education,Corbin B,Unleashing the Potential of the Teenage Brain,,,10/28/2007,168 pages,978-1-4129-5762-5,£49.99,978-1-4129-4249-2,£25.99,,,http://www.uk.sagepub.com/books/Book230370
HEAL Health Studies and Nursing,Corcoran N,Working on Health Communication,,,12/31/2010,200 pages,978-1-84787-922-6,£87.00,978-1-84787-923-3,£28.99,978-1-4462-0978-3,£22.99,http://www.uk.sagepub.com/books/Book233202
HEAL Health Studies and Nursing,Corcoran N,Communicating Health: Second Edition,,,2/18/2013,248 pages,978-1-4462-5232-1,£87.00,978-1-4462-5233-8,£27.99,978-1-4462-7549-8,£21.99,http://www.uk.sagepub.com/books/Book238746
EDUC Primary and Secondary Education,Cordeiro P et al,Multiculturalism and TQE,Total Quality Education for the World,Volume 7,5/10/1994,128 pages,,,978-0-8039-6107-4,£19.99,,,http://www.uk.sagepub.com/books/Book4345
HEAL Health Studies and Nursing,Coreil M,Social and Behavioral Foundations of Public Health: Second Edition,,,3/13/2009,448 pages,978-1-4129-5704-5,£126.00,,,,,http://www.uk.sagepub.com/books/Book231717
MANA Management and Organization Studies,Cornelissen J,Corporate Communication: Fifth Edition,,,1/23/2017,336 pages,978-1-4739-5369-7,£120.00,978-1-4739-5370-3,£39.99,978-1-5264-1184-6,£31.99,http://www.uk.sagepub.com/books/Book249758
PSYC Psychotherapy and Counselling,Cornelius-White J,Person-Centered Approaches for Counselors,Theories for Counselors,,2/24/2015,112 pages,,,978-1-4522-7772-1,£33.99,,,http://www.uk.sagepub.com/books/Book240469
EDUC Primary and Secondary Education,Cornelius-White J & Harbaugh A,Learner-Centered Instruction,,,3/6/2009,240 pages,,,978-1-4129-5498-3,£57.00,,,http://www.uk.sagepub.com/books/Book231657
SOCI Sociology and Cultural Studies,Cornell S & Hartmann D,Ethnicity and Race: Second Edition,Sociology for a New Century Series,,2/15/2007,336 pages,,,978-1-4129-4110-5,£77.00,,,http://www.uk.sagepub.com/books/Book229767
COMM Communication and Media Studies,Corner J & Pels D,Media and the Restyling of Politics,,,8/18/2003,224 pages,978-0-7619-4920-6,£106.00,978-0-7619-4921-3,£37.99,978-0-85702-184-7,£29.99,http://www.uk.sagepub.com/books/Book225003
SOCI Sociology and Cultural Studies,Cornfield D et al,Working in Restructured Workplaces,,,9/30/2001,512 pages,978-0-7619-0781-7,,978-0-7619-0782-4,£41.99,,,http://www.uk.sagepub.com/books/Book19551
EDUC Primary and Secondary Education,Cornwell S & Bundy J,The Emotional Curriculum,Lucky Duck Books,,12/18/2008,136 pages,,,978-1-4129-1237-2,£30.99,978-0-85702-303-2,£24.99,http://www.uk.sagepub.com/books/Book228177
PSYC Psychotherapy and Counselling,Corrie S & Lane D,CBT Supervision,,,3/10/2015,256 pages,978-1-4462-6638-0,£83.00,978-1-4462-6639-7,£26.99,978-1-4739-1801-6,£21.99,http://www.uk.sagepub.com/books/Book240113
PSYC Psychotherapy and Counselling,Corrie S et al,Assessment and Case Formulation in Cognitive Behavioural Therapy: Second Edition,,,12/7/2015,344 pages,978-1-4739-0275-6,£89.00,978-1-4739-0276-3,£27.99,978-1-4739-4367-4,£21.99,http://www.uk.sagepub.com/books/Book242919
EDUC Primary and Secondary Education,Corrigan M et al,Multi-Dimensional Education,,,8/14/2011,320 pages,,,978-1-4129-9259-6,£23.99,,,http://www.uk.sagepub.com/books/Book235604
SOCI Sociology and Cultural Studies,Corrigan P,The Sociology of Consumption,,,9/28/1997,208 pages,978-0-7619-5010-3,£112.00,978-0-7619-5011-0,£26.99,978-0-85702-185-4,£21.99,http://www.uk.sagepub.com/books/Book205326
SOCT Social Theory,Corrigan P,The Dressed Society,"Published in association with Theory, Culture & Society",,1/30/2008,208 pages,978-0-7619-5206-0,£103.00,978-0-7619-5207-7,£32.99,978-1-84920-225-1,£25.99,http://www.uk.sagepub.com/books/Book205387
SOCI Sociology and Cultural Studies,Corsaro W,The Sociology of Childhood: Fourth Edition,Sociology for a New Century Series,,3/31/2014,456 pages,,,978-1-4522-0544-1,£45.99,,,http://www.uk.sagepub.com/books/Book237194
,Corsaro W,The Sociology of Childhood: Fifth Edition (International Student Edition),Sociology for a New Century Series,,7/27/2017,,,,978-1-5063-9073-4,£42.99,,,http://www.uk.sagepub.com/books/Book258438
STAT Statistics and Mathematical Methods,Corter J,Tree Models of Similarity and Association,Quantitative Applications in the Social Sciences,Volume 112,5/30/1996,72 pages,,,978-0-8039-5707-7,£17.99,,,http://www.uk.sagepub.com/books/Book4448
SOCI Sociology and Cultural Studies,Cortes C,Multicultural America,,,10/17/2013,2528 pages,978-1-4522-1683-6,£340.00,,,,,http://www.uk.sagepub.com/books/Book237498
SOCR Social Research Methods and Evaluation,Corti L et al,Managing and Sharing Research Data,,,3/20/2014,240 pages,978-1-4462-6725-7,£87.00,978-1-4462-6726-4,£27.99,978-1-4462-9774-2,£21.99,http://www.uk.sagepub.com/books/Book240297
SOCR Social Research Methods and Evaluation,Coryn C & Westine C,Contemporary Trends in Evaluation Research,SAGE Benchmarks in Social Research Methods,,9/23/2015,1600 pages,978-1-4462-6637-3,£655.00,,,,,http://www.uk.sagepub.com/books/Book240112
EDUC Primary and Secondary Education,Cossavella A & Hobbs C,Farewell and Welcome,Lucky Duck Books,,1/1/2002,132 pages,,,978-1-873942-39-0,£30.99,,,http://www.uk.sagepub.com/books/Book227778
EDUC Primary and Secondary Education,Costa A,Teaching for Intelligence II,,,1/30/2000,306 pages,,,978-1-57517-266-8,£30.99,,,http://www.uk.sagepub.com/books/Book228620
EDUC Primary and Secondary Education,Costa A,The School as a Home for the Mind: Second Edition,,,12/8/2007,272 pages,978-1-4129-5073-2,£70.00,978-1-4129-5074-9,£31.99,,,http://www.uk.sagepub.com/books/Book229394
MANA Management and Organization Studies,Costa A & Anderson N,Trust and Social Capital in Organizations,SAGE Library in Business and Management,,10/25/2012,1816 pages,978-1-4462-0780-2,£645.00,,,,,http://www.uk.sagepub.com/books/Book237163
EDUC Primary and Secondary Education,Costa A & Kallick B,Assessment Strategies for Self-Directed Learning,Experts In Assessment Series,,2/28/2004,192 pages,978-0-7619-3870-5,£58.00,978-0-7619-3871-2,£27.99,,,http://www.uk.sagepub.com/books/Book225713
EDUC Primary and Secondary Education,Costa A & Kallick B,Dispositions,,,12/31/2013,176 pages,,,978-1-4833-3910-8,£19.99,,,http://www.uk.sagepub.com/books/Book242304
EDUC Primary and Secondary Education,Costa A & Liebmann R,Envisioning Process as Content,,,2/28/1997,280 pages,978-0-8039-6309-2,£62.00,978-0-8039-6310-8,£31.99,,,http://www.uk.sagepub.com/books/Book5854
EDUC Primary and Secondary Education,Costa A & Liebmann R,Supporting the Spirit of Learning,,,3/30/1997,264 pages,978-0-8039-6311-5,£62.00,978-0-8039-6312-2,£31.99,,,http://www.uk.sagepub.com/books/Book5456
EDUC Primary and Secondary Education,Costa A & Liebmann R,The Process-Centered School,,,3/30/1997,264 pages,978-0-8039-6313-9,£62.00,978-0-8039-6314-6,£31.99,,,http://www.uk.sagepub.com/books/Book5457
MANA Management and Organization Studies,Costa J & Bamossy G,Marketing in a Multicultural World,,,4/20/1995,341 pages,978-0-8039-5327-7,£37.00,978-0-8039-5328-4,£62.00,,,http://www.uk.sagepub.com/books/Book4476
SOCR Social Research Methods and Evaluation,Costley C et al,Doing Work Based Research,,,3/30/2010,224 pages,978-1-84860-677-7,£87.00,978-1-84860-678-4,£28.99,978-1-4462-4794-5,£22.99,http://www.uk.sagepub.com/books/Book233815
CRIM Criminology,Cote S,Criminological Theories,,,5/30/2002,440 pages,978-0-7619-2502-6,£90.00,978-0-7619-2503-3,£61.00,,,http://www.uk.sagepub.com/books/Book220317
COMM Communication and Media Studies,Cottle S,Media Organization and Production,The Media in Focus series,,4/18/2003,204 pages,978-0-7619-7493-2,£93.00,978-0-7619-7494-9,£24.99,978-1-4129-3172-4,£19.99,http://www.uk.sagepub.com/books/Book224914
COMM Communication and Media Studies,Cottle S,"News, Public Relations and Power",The Media in Focus series,,4/18/2003,188 pages,978-0-7619-7495-6,£87.00,978-0-7619-7496-3,£29.99,978-0-85702-277-6,£23.99,http://www.uk.sagepub.com/books/Book224915
EDUT Tertiary Education,Couchenour D & Chrisman J,The SAGE Encyclopedia of Contemporary Early Childhood Education,,,10/3/2016,1600 pages,978-1-4833-4035-7,£405.00,,,,,http://www.uk.sagepub.com/books/Book242343
HEAL Health Studies and Nursing,Coughlan M & Cronin P,"Doing a Literature Review in Nursing, Health and Social Care: Second Edition",,,11/16/2016,184 pages,978-1-4129-6203-2,£60.00,978-1-4129-6204-9,£19.99,978-1-4739-9830-8,£15.99,http://www.uk.sagepub.com/books/Book244429
SOCI Sociology and Cultural Studies,Couldry N,Inside Culture,,,5/28/2000,176 pages,978-0-7619-6385-1,£91.00,978-0-7619-6386-8,£37.99,978-1-84787-629-4,£29.99,http://www.uk.sagepub.com/books/Book209501
COMM Communication and Media Studies,Couldry N,Why Voice Matters,,,6/30/2010,184 pages,978-1-84860-661-6,£84.00,978-1-84860-662-3,£26.99,978-0-85702-935-5,£21.99,http://www.uk.sagepub.com/books/Book233759
SOCR Social Research Methods and Evaluation,Coulon A,Ethnomethodology,Qualitative Research Methods,Volume 36,6/19/1995,88 pages,978-0-8039-4776-4,£22.99,978-0-8039-4777-1,£21.99,,,http://www.uk.sagepub.com/books/Book4941
EDUC Primary and Secondary Education,Council O,The Quick-Reference Handbook for School Leaders,,,5/31/2005,328 pages,978-1-4129-1458-1,£65.00,978-1-4129-1459-8,£33.99,,,http://www.uk.sagepub.com/books/Book227046
EDUC Primary and Secondary Education,Council O,The Principal as Early Literacy Leader,Leading Student Achievement Series,,2/3/2009,160 pages,978-1-4129-6306-0,£54.00,978-1-4129-6307-7,£23.99,,,http://www.uk.sagepub.com/books/Book229242
EDUC Primary and Secondary Education,Council O,The Principal as Data-Driven Leader,Leading Student Achievement Series,,2/3/2009,160 pages,978-1-4129-6304-6,£54.00,978-1-4129-6305-3,£23.99,,,http://www.uk.sagepub.com/books/Book229244
EDUC Primary and Secondary Education,Council O,The Principal as Instructional Leader in Literacy,Leading Student Achievement Series,,2/9/2009,160 pages,978-1-4129-6308-4,£35.00,978-1-4129-6309-1,£23.99,,,http://www.uk.sagepub.com/books/Book229241
EDUC Primary and Secondary Education,Council O,The Principal as Professional Learning Community Leader,Leading Student Achievement Series,,2/9/2009,144 pages,978-1-4129-6313-8,£49.99,978-1-4129-6314-5,£21.99,,,http://www.uk.sagepub.com/books/Book229243
EDUC Primary and Secondary Education,Council O,The Principal as Mathematics Leader,Leading Student Achievement Series,,2/16/2009,128 pages,978-1-4129-6310-7,£38.99,978-1-4129-6311-4,£21.99,,,http://www.uk.sagepub.com/books/Book229245
EDUC Primary and Secondary Education,Council O,The Principal as Leader of Challenging Conversations,Leading Student Achievement Series,,4/7/2011,160 pages,,,978-1-4129-8115-6,£23.99,,,http://www.uk.sagepub.com/books/Book234521
EDUC Primary and Secondary Education,Council O,The Principal as Leader of the Equitable School,Leading Student Achievement Series,,10/30/2012,176 pages,,,978-1-4129-8117-0,£24.99,,,http://www.uk.sagepub.com/books/Book234530
ENVI Environmental Studies,Couper P,A Student's Introduction to Geographical Thought,,,12/12/2014,280 pages,978-1-4462-8295-3,£83.00,978-1-4462-8296-0,£27.99,978-1-4739-1132-1,£21.99,http://www.uk.sagepub.com/books/Book242349
SOCI Sociology and Cultural Studies,Courpasson D & Vallas S,The SAGE Handbook of Resistance,,,9/19/2016,530 pages,978-1-4739-0643-3,£125.00,,,978-1-4739-5918-7,£63.00,http://www.uk.sagepub.com/books/Book243831
STUD Study Skills,Courtney M & Du X,Study Skills for Chinese Students,SAGE Study Skills Series,,11/18/2014,288 pages,978-1-4462-9448-2,£60.00,978-1-4462-9450-5,£19.99,978-1-4739-1053-9,£15.99,http://www.uk.sagepub.com/books/Book242880
"SOCW Social Welfare, Family Studies & Gerontology",Cousins L,Encyclopedia of Human Services and Diversity,,,11/30/2014,1632 pages,978-1-4522-8748-5,£420.00,,,,,http://www.uk.sagepub.com/books/Book240924
"SOCW Social Welfare, Family Studies & Gerontology",Cousins M,European Welfare States,,,10/18/2005,272 pages,978-1-4129-0172-7,£93.00,978-1-4129-0173-4,£30.99,978-1-84787-783-3,£24.99,http://www.uk.sagepub.com/books/Book226828
POLI Politics and International Relations,Couto R,Political and Civic Leadership,,,11/14/2010,1184 pages,978-1-4129-6263-6,£280.00,,,,,http://www.uk.sagepub.com/books/Book232368
SOCT Social Theory,Couvalis S,The Philosophy of Science,,,4/28/1997,224 pages,978-0-7619-5100-1,£96.00,978-0-7619-5101-8,£39.99,978-1-84920-692-1,£31.99,http://www.uk.sagepub.com/books/Book205396
EDUC Primary and Secondary Education,Covili J,Going Google,,,5/20/2012,224 pages,,,978-1-4129-9878-9,£30.99,,,http://www.uk.sagepub.com/books/Book236777
EDUC Primary and Secondary Education,Covili J,Going Google: Second Edition,,,11/30/2016,240 pages,,,978-1-5063-2528-6,£25.99,,,http://www.uk.sagepub.com/books/Book248905
